home_team_rank,away_team_rank,home_team_form,away_team_form,home_goal_diff,away_goal_diff,tournament_importance,is_neutral,h2h_points_diff,goal_diff,result
47.0,27.0,7,7,-0.6,1.0,1,1,0,0,0
37.0,47.0,10,7,0.8,-0.6,1,0,0,0,0
5.0,110.0,7,7,0.2,0.75,1,1,0,1,1
16.0,37.0,9,8,2.0,0.4,1,0,0,5,1
28.0,36.0,8,3,0.0,-0.8,1,0,0,-1,2
40.0,6.0,3,10,-0.6666666666666666,0.4,1,0,0,0,0
49.0,102.0,1,3,-1.0,-0.5,1,0,0,0,0
39.0,43.0,3,8,-1.5,-0.2,1,0,0,1,1
15.0,4.0,12,8,2.6,0.8,1,0,0,0,0
54.0,44.0,2,4,0.0,0.0,1,0,0,0,0
113.0,36.0,3,3,-2.0,-0.75,1,0,0,-1,2
110.0,146.0,6,12,-0.8,2.5,1,0,9,0,0
12.0,43.0,8,5,0.2,-0.6,1,0,0,1,1
40.0,69.0,4,1,-0.5,-1.4,1,0,0,1,1
59.0,88.0,0,1,-3.0,-2.0,1,0,0,2,1
47.0,6.0,1,10,-1.0,0.4,1,0,0,1,1
110.0,146.0,7,13,-0.2,2.0,1,0,10,2,1
93.0,142.0,0,0,-1.0,0.0,1,0,0,2,1
44.0,17.0,5,9,0.0,0.6,1,1,0,-1,2
5.0,3.0,9,8,0.4,0.6,1,0,0,1,1
16.0,38.0,9,6,0.8,0.2,1,0,0,2,1
11.0,26.0,10,7,0.8,0.0,1,0,-3,2,1
8.0,158.0,12,0,2.2,-2.5,1,0,0,2,1
2.0,12.0,10,8,0.6,0.0,1,0,0,-2,2
54.0,17.0,3,9,0.0,0.4,1,0,0,-3,2
20.0,45.0,7,9,0.2,0.6,1,0,0,1,1
52.0,6.0,8,7,0.0,0.0,1,0,0,-3,2
58.0,30.0,0,8,-1.0,0.0,1,0,0,0,0
11.0,49.0,10,2,0.8,-0.8,1,0,0,6,1
4.0,5.0,6,9,0.2,0.4,1,0,0,1,1
10.0,87.0,12,10,0.8,1.25,1,0,0,0,0
41.0,2.0,6,7,0.0,0.0,1,0,0,-4,2
38.0,9.0,6,8,0.0,0.2,1,0,0,-1,2
91.0,74.0,0,4,-2.0,-0.6,1,0,0,2,1
29.0,93.0,9,3,0.8,0.0,1,0,0,0,0
18.0,33.0,10,10,0.8,1.2,1,1,0,2,1
16.0,8.0,9,15,0.6,2.8,1,0,0,1,1
102.0,6.0,4,7,-0.3333333333333333,0.4,1,0,0,0,0
85.0,35.0,3,3,1.0,-1.2,1,1,0,-1,2
58.0,1.0,1,12,-0.5,1.4,1,0,0,0,0
18.0,32.0,12,5,1.2,-0.8,1,1,0,2,1
12.0,59.0,11,3,0.8,-0.5,1,0,0,-2,2
3.0,4.0,7,9,0.4,0.6,1,0,0,2,1
44.0,78.0,5,3,-0.2,-1.5,1,0,0,1,1
34.0,49.0,3,1,-0.3333333333333333,-2.0,1,0,0,2,1
43.0,69.0,5,1,-0.2,-1.4,1,0,0,0,0
58.0,2.0,2,10,-0.3333333333333333,1.0,1,0,0,-2,2
51.0,1.0,3,10,-0.5,1.0,1,1,0,-6,2
58.0,9.0,2,8,-0.75,0.0,1,0,0,-2,2
43.0,8.0,3,12,-0.4,1.8,1,1,0,0,0
50.0,16.0,4,9,0.0,0.4,1,1,0,-1,2
13.0,33.0,5,7,-1.2,0.4,1,1,0,3,1
7.0,129.0,7,0,-0.2,0.0,1,0,0,4,1
44.0,78.0,5,3,-0.2,-1.3333333333333333,1,0,3,1,1
58.0,11.0,2,10,-1.0,1.6,1,0,0,-3,2
70.0,1.0,3,13,-0.5,2.4,1,1,0,-4,2
10.0,3.0,10,9,0.6,0.8,1,1,0,0,0
1.0,43.0,12,3,1.4,-0.4,4,1,0,1,1
17.0,7.0,15,8,1.8,0.4,4,1,0,-2,2
4.0,14.0,9,10,0.4,0.4,4,1,0,-1,2
27.0,28.0,6,8,0.25,0.0,4,1,0,1,1
24.0,10.0,8,10,0.8,1.0,4,1,0,0,0
6.0,16.0,8,7,0.2,-0.6,4,1,0,1,1
3.0,19.0,13,10,3.0,0.8,4,1,0,2,1
2.0,34.0,12,6,2.2,-0.8,4,1,0,1,1
8.0,31.0,8,4,0.8,-1.2,4,1,0,4,1
1.0,5.0,12,8,1.4,0.2,4,1,0,0,0
11.0,29.0,9,7,0.6,0.2,4,1,0,3,1
7.0,12.0,8,10,0.6,1.0,4,1,0,-3,2
4.0,6.0,9,8,0.4,0.0,4,1,0,1,1
3.0,24.0,13,9,3.0,1.0,4,1,0,3,1
16.0,14.0,7,12,0.0,0.6,4,1,0,1,1
10.0,19.0,8,10,0.6,0.6,4,1,0,2,1
8.0,11.0,8,9,1.2,1.0,4,1,0,1,1
27.0,2.0,9,12,0.4,2.2,4,1,0,1,1
34.0,28.0,6,5,-0.6,-0.4,4,1,0,1,1
29.0,31.0,4,1,-0.6,-2.8,4,1,0,4,1
85.0,126.0,3,0,0.0,-4.0,1,0,0,-2,2
12.0,17.0,10,12,1.4,1.2,4,1,0,-2,2
43.0,5.0,2,8,-0.6,0.2,4,1,0,-2,2
3.0,10.0,13,8,3.0,0.6,4,1,0,0,0
14.0,6.0,9,7,0.2,-0.2,4,1,0,0,0
4.0,16.0,12,10,0.8,0.8,4,1,0,0,0
19.0,24.0,7,6,-0.4,0.0,4,1,0,5,1
27.0,34.0,9,6,0.4,-0.8,4,1,0,-1,2
